feature,mean_abs_shap,rank
carbonization_temperature_C,0.2904968333607387,1
ssa_m2_g,0.23066854575205525,2
current_density_mA_g,0.12665039237196257,3
id_ig,0.03308083388668454,4
d002_nm,0.031724342619903055,5
electrolyte_type,0.018461595197411636,6
