model,cv_r2_ice,cv_r2_plateau
LinearRegression,0.603539469231274,0.619318969181855
GradientBoostingRegressor,0.753100147003705,0.722934484920696
Ridge Regression,0.607988241938608,0.61962529689644
Lasso Regression,0.608465099698203,0.628161824794889
Neural Network Regression,0.727208813998996,0.695870599934935
Random Forest Regression,0.760835257807093,0.758438323206339
XGBRegressor,0.757071730798066,0.751600520626563
