feature,mean_abs_shap,rank
carbonization_temperature_C,42.92377915944708,1
ssa_m2_g,20.364876051043186,2
current_density_mA_g,9.911368522560705,3
id_ig,7.063951428700824,4
d002_nm,4.30629145430355,5
electrolyte_type,1.3939841152011696,6
