feature,mean_abs_shap,rank
carbonization_temperature_C,0.38990697098778443,1
ssa_m2_g,0.09618335114783515,2
id_ig,0.03259362252274954,3
current_density_mA_g,0.02297261016484295,4
d002_nm,0.01563062706635895,5
electrolyte_type,0.010398764029391185,6
