feature,mean_abs_shap,rank
carbonization_temperature_C,51.384445,1
ssa_m2_g,16.278177,2
d002_nm,6.6233277,3
id_ig,6.082338,4
current_density_mA_g,4.590341,5
electrolyte_type,1.6288449,6
