,mean_abs_shap
"Carbonization
temperature",9.875753801381308
SSA,8.647322458961987
I$_D$/I$_G$,6.911526456083079
Electrolyte,6.10188794885851
d$_{002}$,5.10832289172598
Carbonization time,4.580851545935815
Heating rate,3.724350812230471
Current density,2.9034135927032643
