removed_feature,test_r2_without_feature,delta_test_r2,test_mae_without_feature,test_rmse_without_feature
carbonization_temperature_C,0.5814589879871752,0.21257180208297854,36.55915361378466,47.60766881312779
ssa_m2_g,0.7360159296638912,0.05801486040626258,29.435047083556313,37.80913716059962
current_density_mA_g,0.7656292715531547,0.028401518516999014,28.170226156434815,35.62538701212562
d002_nm,0.7695187153336619,0.024512074736491862,27.92141770554918,35.32854398677895
electrolyte_type,0.7883203009990082,0.005710489071145575,26.62074772941744,33.85692493708939
id_ig,0.7895304604910124,0.004500329579141371,27.407744290491113,33.76000726796509
