feature,mean_abs_shap,rank
carbonization_temperature_C,0.31047846137557616,1
ssa_m2_g,0.21734865899506017,2
current_density_mA_g,0.07180787528333545,3
d002_nm,0.025037366924705377,4
id_ig,0.015670548142561216,5
electrolyte_type,0.006501656554032596,6
