feature,mean_abs_shap,rank
carbonization_temperature_C,53.028614844580005,1
ssa_m2_g,16.547751669378894,2
d002_nm,6.769515528086887,3
id_ig,5.7847056061149384,4
current_density_mA_g,3.9281413034569153,5
electrolyte_type,2.032734835129399,6
