model,tuned,cv_r2_mean,cv_r2_std,cv_mae_mean,cv_rmse_mean,train_cv_r2,train_cv_mae,train_cv_rmse,test_r2,test_mae,test_rmse,generalization_gap_r2,supports_shap
NeuralNetwork,False,0.7242535638340815,0.07513720102564407,0.27947980967551717,0.3561730586420476,0.7357125242769348,0.27950645758459775,0.358624094807737,0.8297741064250943,0.2376860861594066,0.3080302970721235,-0.09406158214815952,False
XGB,True,0.7600045049632855,0.0462173291913946,0.26492291504726156,0.3354531758072107,0.764633499131235,0.26508378425754453,0.3384336197713684,0.8285455096784907,0.25966443423433405,0.30913989507198425,-0.0639120105472557,True
RandomForest,True,0.7665577244485615,0.05320339041450003,0.25676132952260283,0.33047156646755477,0.7703927773777997,0.25693559079093775,0.33426734066746944,0.8263801965976569,0.2565243784309856,0.31108584722984867,-0.05598741921985728,True
GBR,True,0.7289424508780453,0.06040121451646639,0.2818241246396593,0.35499905408233434,0.7370994903862154,0.28182375081865374,0.35768183720860935,0.788930684276866,0.27067286589591694,0.342999253205492,-0.051831193890650606,True
Linear,False,0.6092451069030838,0.17834913456231835,0.3093939652062645,0.4220982452322972,0.6165076946471024,0.30944478182408514,0.4319957764486113,0.6775251834517739,0.34371090453737446,0.42396355543289355,-0.061017488804671505,True
Ridge,True,0.612335760930095,0.18224632150736042,0.30895832736405604,0.4197853834820008,0.620042621797908,0.30900569784288606,0.4300001575961583,0.6741444357599097,0.34482124761446714,0.4261801265778253,-0.054101813962001644,True
Lasso,True,0.6125459414871337,0.18918940083643263,0.3105183510136943,0.4182451985979624,0.6232721178501122,0.31051571903274705,0.42816883739767,0.6640038082619245,0.34930011132797395,0.4327606863412633,-0.04073169041181235,True
