model,tuned,cv_r2_mean,cv_r2_std,cv_mae_mean,cv_rmse_mean,train_cv_r2,train_cv_mae,train_cv_rmse,test_r2,test_mae,test_rmse,generalization_gap_r2,supports_shap
RandomForest,True,0.8050930545486927,0.0414195250342986,27.185019680818982,34.615732505714384,0.8057756613635774,27.17286608090694,34.79997202824004,0.7940307900701538,26.934454228938492,33.39712311611072,0.011744871293423609,True
XGB,True,0.8107184668561247,0.0413989922691402,26.709481660368805,34.133739524803914,0.8109879921403444,26.697315910801585,34.32983902786035,0.7797931823486961,27.022864700141945,34.53212357352408,0.031194809791648348,True
GBR,True,0.7771460345733489,0.041259468089550354,28.54839511626373,36.993641551866844,0.7794527038236619,28.537574031543713,37.083262737096256,0.7193144515111194,31.045592820983387,38.9868307294677,0.06013825231254255,True
NeuralNetwork,False,0.7486283920701025,0.04241863301783289,30.39204438330887,39.426256312179376,0.7481415409500545,30.390405598914057,39.62829069930727,0.7029627028248324,30.13239878790073,40.10637389622292,0.045178838125222054,False
Linear,False,0.7008823511160546,0.04655190684825413,33.54636066773245,42.99627274546587,0.7011556320527681,33.54424044356254,43.1667753323448,0.6708627388412018,33.142986057572635,42.21788100771112,0.030292893211566252,True
Lasso,True,0.7019107507032148,0.046713850902872146,33.521896589055295,42.91770152077443,0.702357255360887,33.51892377135026,43.07990327574799,0.6692831839004885,33.123220189441035,42.319063180982376,0.033074071460398535,True
Ridge,True,0.7036387759082041,0.047179297011100046,33.48861885728188,42.785495014330806,0.7042558791858771,33.48502338321071,42.94228294762245,0.6681670120899907,33.14378638991421,42.3904166097644,0.03608886709588632,True
