model,tuned,cv_r2_mean,cv_r2_std,cv_mae_mean,cv_rmse_mean,train_cv_r2,train_cv_mae,train_cv_rmse,test_r2,test_mae,test_rmse,generalization_gap_r2,supports_shap
NeuralNetwork,False,0.7177539796023954,0.0554157020624565,0.28457149914979907,0.36570058003839057,0.7239553571349597,0.28456277235419536,0.366514225253667,0.8297741064250943,0.23768608615940653,0.3080302970721235,-0.10581874929013457,False
RandomForest,True,0.7626539475474241,0.019289018884846566,0.25800486944926715,0.337906739600359,0.7638998970652546,0.2580427326534724,0.3389606328407771,0.8263801965976569,0.2565243784309856,0.31108584722984867,-0.062480299532402306,True
XGB,True,0.7593366971566546,0.024128625297759877,0.2621485807208035,0.33934773692533804,0.7629314750641984,0.2621807724748119,0.33965508619428136,0.824824077308943,0.2592659039207458,0.3124768372519979,-0.06189260224474458,True
GBR,True,0.7335329483297163,0.0372845150285987,0.2814522987310232,0.35641457484409667,0.7384827424555145,0.28146964109782563,0.3567396240101357,0.7900807193673755,0.2766782630647355,0.3420635417277735,-0.051597976911860965,True
Linear,False,0.6035394692312747,0.1313829276281773,0.31007705162068666,0.43024842808907204,0.6154593778876749,0.31011376080763864,0.43258582654545435,0.6775251834518179,0.34371090453735026,0.4239635554328646,-0.062065805564142984,True
Ridge,True,0.6079819536279788,0.1364223789039593,0.3093591356575267,0.4270143968178056,0.6209690647888368,0.3093903648374512,0.4294756069670687,0.67421560596943,0.34477592821475916,0.4261335829729583,-0.05324654118059313,True
Lasso,True,0.6084650996982032,0.14673054242850544,0.3107704888118681,0.4254228336579492,0.6230788510850473,0.3107768813834543,0.42827865166900736,0.6640103384410248,0.3492984626035614,0.4327564809088953,-0.0409314873559774,True
