fold,r2,mae,rmse
1,0.7743098973886733,0.2881286098310264,0.3606707565962854
2,0.7215889492638528,0.250719224422381,0.3420345162514472
3,0.7626589560140169,0.26587918850164777,0.32146985089375124
4,0.7845457331667013,0.23526545429422663,0.33073235338489043
5,0.7535799499500293,0.27075042655473575,0.34183120750031604
