fold,r2,mae,rmse
1,0.7577189314054534,0.28599633978523187,0.37369252793952334
2,0.6889835614790347,0.2792021469015224,0.3615083826532561
3,0.6803536135154242,0.28983601112119634,0.3730686230448872
4,0.7945613132320142,0.24835742895004556,0.322953686747089
5,0.6671524783800502,0.319465568990999,0.3972796798071972
