carbonization_temperature_C,d002_nm,id_ig,ssa_m2_g,electrolyte_type,current_density_mA_g,ice,lce,plateau_capacity_mAh_g,carbonization_time_h,heating_rate_C_min,pore_volume_cm3_g,lc_nm,la_nm,record_id,doi,material_name,category,electrolyte_text,reversible_capacity_mAh_g,mapping_method,mapping_found
1100.0,0.3706,1.38,90.0,0,25.0,0.62,0.4895482253187058,96.83,2.0,5.0,,2.45,6.89,,Insights into the electrochemical properties of bagasse-derived hard carbon anode materials for sodium-ion battery,SW1100,酯类,1 M NaClO4 salt dissolved in solvent EC: DEC (1:1 volume ratio),256.0,primary_exact,True
1200.0,0.38,1.05,63.9,0,50.0,0.69,0.8001193001121129,165.83,3.0,3.0,0.036,,,,"Interfacial-Catalysis-Enabled Layered and Inorganic-Rich SEI on Hard Carbon Anodes in
Ester Electrolytes for Sodium-Ion Batteries",P-HC,酯类,"1.0 M NaPF6 dissolved in ethylene carbonate (EC)/diethyl carbonate 
(DEC) (1:1 by volume",345.23,primary_exact,True
1000.0,0.41,0.88,382.0,0,30.0,0.6288,0.5270722402029514,52.71,2.0,,,1.21,1.39,233.0,Investigating the Superior Performance of Hard Carbon Anodes in Sodium-Ion Compared With Lithium- and Potassium-Ion Batteries,G1000,酯类,"1 M NaPF6 (EC: DMC, 1:1 v.%)",213.95,primary_exact,True
1300.0,0.393,0.99,10.0,0,30.0,0.8412000000000001,1.6671838950155098,151.94,2.0,,,1.25,1.48,,Investigating the Superior Performance of Hard Carbon Anodes in Sodium-Ion Compared With Lithium- and Potassium-Ion Batteries,G1300,酯类,"1 M NaPF6 (EC: DMC, 1:1 v.%)",279.07,primary_exact,True
1500.0,0.383,1.1,11.0,0,30.0,0.8690000000000001,1.8921458020642412,217.99,2.0,,,1.32,1.55,,Investigating the Superior Performance of Hard Carbon Anodes in Sodium-Ion Compared With Lithium- and Potassium-Ion Batteries,G1500,酯类,"1 M NaPF6 (EC: DMC, 1:1 v.%)",346.53,primary_exact,True
1700.0,0.363,1.13,7.0,0,30.0,0.7924,1.3394531635326623,200.52,2.0,,,1.41,2.17,,Investigating the Superior Performance of Hard Carbon Anodes in Sodium-Ion Compared With Lithium- and Potassium-Ion Batteries,G1700,酯类,"1 M NaPF6 (EC: DMC, 1:1 v.%)",267.7,primary_exact,True
1900.0,0.355,1.18,7.0,0,30.0,0.7006,0.8501566387778585,134.31,2.0,,,1.75,2.42,,Investigating the Superior Performance of Hard Carbon Anodes in Sodium-Ion Compared With Lithium- and Potassium-Ion Batteries,G1900,酯类,"1 M NaPF6 (EC: DMC, 1:1 v.%)",190.2,primary_exact,True
800.0,0.359,2.32,108.0,0,50.0,0.5315,0.1261670961035256,0.0,,10.0,0.03,1.32,3.09,,Mechanochemistry transforming high-surface-area coal-based activated carbon into densified carbon with optimized multi-scale structures for enhanced sodium/potassium ion storage,CAC-M4,酯类,"1.0 M NaClO4 in EC:DEC (1:1, vol%)",341.52,primary_exact,True
1200.0,0.348,1.63,100.7,0,30.0,0.733,1.009897043486402,67.3,3.0,5.0,0.077,,,247.0,Microstructure regulation of resin-based hard carbons via esterification cross-linking for high-performance sodium-ion batteries,PFC ,酯类,1 M NaClO4 solution in ethylene carbonate (EC) : diethyl carbonate (DEC) (volume ratio 1 : 1) ,163.3,primary_exact,True
1200.0,0.381,1.89,49.1,0,30.0,0.762,1.1636758820151716,161.1,3.0,5.0,0.038,,,,Microstructure regulation of resin-based hard carbons via esterification cross-linking for high-performance sodium-ion batteries,PPFC-1-10-1200 ,酯类,1 M NaClO4 solution in ethylene carbonate (EC) : diethyl carbonate (DEC) (volume ratio 1 : 1) ,287.3,primary_exact,True
1200.0,0.394,1.91,4.8,0,30.0,0.779,1.2598483443529955,184.9,3.0,5.0,0.04,,,,Microstructure regulation of resin-based hard carbons via esterification cross-linking for high-performance sodium-ion batteries,PPFC-1-6-1200,酯类,1 M NaClO4 solution in ethylene carbonate (EC) : diethyl carbonate (DEC) (volume ratio 1 : 1) ,308.7,primary_exact,True
