carbonization_temperature_C,d002_nm,id_ig,ssa_m2_g,electrolyte_type,current_density_mA_g,plateau_capacity_mAh_g
700.0,0.395,0.98,677.7,0,100.0,0.0
700.0,0.36,0.98,94.1,0,30.0,0.0
700.0,0.375,0.934,488.0,0,50.0,0.0
1100.0,0.4,1.01,46.4,0,200.0,100.0
1100.0,0.375,2.09,24.8,0,40.0,110.66
1400.0,0.372,1.84,8.0,0,40.0,178.125
1600.0,0.371,1.44,5.0,0,40.0,176.95
1250.0,0.367,0.97,14.6,0,20.0,125.0
900.0,0.401,0.89,294.45,0,100.0,0.0
1000.0,0.371,1.19,5.46,1,50.0,72.73
1200.0,0.394,1.09,7.07,1,50.0,142.98
1400.0,0.373,0.96,6.84,1,50.0,142.0
1100.0,0.393,1.02,2.13,0,15.0,205.9
1500.0,0.37,1.834,8.34,0,20.0,256.8
1500.0,0.38,1.908,2.83,0,20.0,285.8
1300.0,0.384,2.41,1656.7,0,30.0,0.0
1300.0,0.382,1.46,5.8,0,30.0,208.0
1300.0,0.381,1.62,9.4,1,30.0,133.73
1300.0,0.392,1.67,56.6,1,30.0,201.81
950.0,0.369,2.15,407.0,0,50.0,15.0
950.0,0.365,2.53,19.0,0,50.0,84.12
1400.0,0.37,0.87,280.0,0,20.0,185.43
1400.0,0.38,1.04,0.7,0,20.0,168.42
800.0,0.38,2.67,7.0,1,20.0,0.0
800.0,0.362,2.53,2.0,1,20.0,0.0
800.0,0.383,2.79,445.0,1,20.0,0.0
1600.0,0.346,1.6,13.28,1,100.0,200.0
1600.0,0.346,1.71,15.95,1,100.0,223.7
1200.0,0.375,1.032,120.6,1,30.0,109.04
1200.0,0.387,0.967,18.2,1,30.0,152.0
1200.0,0.399,1.013,22.1,1,30.0,109.33
1300.0,0.38,1.2,2.78,1,20.0,184.91
1300.0,0.37,1.26,19.97,1,20.0,206.58
1300.0,0.37,1.27,4.01,1,20.0,194.97
1300.0,0.37,1.24,3.43,1,20.0,178.72
1400.0,0.379,1.23,2.8,1,30.0,140.77
1400.0,0.382,1.32,4.1,1,30.0,195.58
1000.0,0.3751,2.21,2095.5475,1,100.0,0.0
900.0,0.393,2.26,2788.2295,1,100.0,0.0
1300.0,0.379,1.79,10.79,1,20.0,199.42
1300.0,0.371,1.57,7.34,1,20.0,225.15
1300.0,0.366,1.33,3.51,1,20.0,99.42
1300.0,0.394,1.97,380.14,0,20.0,198.26
1300.0,0.39,2.16,132.09,0,20.0,215.7
1300.0,0.382,2.31,44.61,0,20.0,155.23
1300.0,0.382,1.23,1.07,0,15.0,225.89
1300.0,0.366,1.2,1.01,0,15.0,128.27
1300.0,0.38,1.34,7.32,1,30.0,191.85
1300.0,0.386,1.57,10.54,1,30.0,260.0
1300.0,0.392,1.6,430.46,1,30.0,46.99
1200.0,0.369,1.67,12.08,0,30.0,122.69
1400.0,0.376,1.06,5.6,0,30.0,174.03
1600.0,0.36,1.02,11.6,0,30.0,153.31
1400.0,0.385,1.08,16.5,0,30.0,165.75
1400.0,0.361,1.01,18.5,0,30.0,150.0
800.0,0.387327,1.965518,114.27,1,25.0,70.84
900.0,0.386307,1.748638,89.59,1,25.0,70.84
1200.0,0.379977,1.337509,227.57,1,25.0,139.51
1300.0,0.367165,1.268606,287.21,1,25.0,98.09
