carbonization_temperature_C,d002_nm,id_ig,ssa_m2_g,electrolyte_type,current_density_mA_g,plateau_capacity_mAh_g
1200.0,0.383,2.35,6.7,0,30.0,158.0
1400.0,0.379,1.98,3.3,0,30.0,219.0
1600.0,0.371,1.8,1.9,0,30.0,236.0
800.0,0.368,1.084,239.89,1,10.0,64.08
2000.0,0.343,1.306,17.7,1,10.0,120.58
800.0,0.376,1.102,138.47,1,10.0,48.93
1000.0,0.354,0.94,131.24,1,100.0,78.42
1190.0,0.376,0.96,296.17,1,50.0,0.0
1000.0,0.402,1.18,325.0,1,30.0,53.65
1200.0,0.397,1.15,103.0,1,30.0,109.66
1400.0,0.39,1.16,46.0,1,30.0,172.61
1400.0,0.388,1.05,29.0,1,30.0,120.08
1100.0,0.411,1.664,15.611,0,100.0,25.0
1200.0,0.367,1.85,115.9,0,30.0,162.1
1200.0,0.379,1.89,70.2,0,30.0,200.4
1200.0,0.384,1.96,30.0,0,30.0,230.5
1200.0,0.401,2.2,47.3,0,30.0,188.5
1400.0,0.372,1.63,22.551,0,20.0,92.4
1400.0,0.377,1.51,27.9862,0,20.0,186.5
1400.0,0.379,1.59,37.2031,0,20.0,150.0
1400.0,0.381,1.71,51.9868,0,20.0,140.3
1400.0,0.378,1.81,78.4585,0,20.0,95.82
1100.0,0.376,1.1,9.068,1,50.0,159.1
1300.0,0.365,1.03,4.729,1,50.0,189.1
800.0,0.396,2.89,583.0,0,30.0,0.0
1000.0,0.379,2.64,205.0,0,30.0,153.6
1300.0,0.38,1.04,90.75,1,50.0,151.7
1000.0,0.393,2.09,329.0,1,50.0,107.89
1000.0,0.389,2.03,478.4,1,50.0,27.89
1000.0,0.364,2.01,13.3,1,50.0,108.0
800.0,0.38,0.63,1079.88,0,100.0,0.0
900.0,0.399,0.89,578.2,0,50.0,0.0
900.0,0.399,0.95,352.7,0,50.0,0.0
1000.0,0.382,1.37,38.0,0,30.0,141.0
1500.0,0.373,1.52,13.0,0,30.0,239.0
1400.0,0.382,2.3,161.2,1,100.0,128.9
1400.0,0.384,2.2,53.0,1,100.0,160.1
1400.0,0.373,1.93,64.2,1,100.0,108.6
1400.0,0.383,2.44,30.4,1,100.0,150.72
1500.0,0.372,1.15,24.0,0,20.0,169.3
1500.0,0.371,1.24,82.0,0,20.0,242.6
1100.0,0.393,2.3,187.5,1,100.0,107.4
1500.0,0.363,1.72,46.6,1,100.0,114.0
600.0,0.377,0.88,690.0,0,100.0,0.0
600.0,0.363,0.84,468.0,0,100.0,0.0
1300.0,0.3637,1.9,105.0,0,25.0,159.17
1300.0,0.3604,1.9,2.5,0,25.0,197.23
1300.0,0.362,1.8,0.1,0,25.0,204.15
1300.0,0.3638,1.8,6.0,0,25.0,209.69
1300.0,0.3623,1.9,8.0,0,25.0,186.85
900.0,0.387,1.24,3.0,0,20.0,129.0
1100.0,0.381,1.18,3.8,0,20.0,137.0
1300.0,0.375,1.11,1.42,0,20.0,143.0
900.0,0.367,1.005,556.96,1,100.0,0.0
850.0,0.391,1.38,137.83,0,50.0,0.0
950.0,0.37,1.28,222.89,0,50.0,0.0
700.0,0.424,0.95,1271.0,0,74.4,0.0
800.0,0.3736,2.09,494.6238,1,50.0,0.0
900.0,0.3711,2.0,445.9053,1,50.0,54.86
1000.0,0.377,1.95,435.3239,1,50.0,129.81
1300.0,0.3783,1.76,22.98,1,50.0,171.26
1300.0,0.3914,1.72,48.9072,1,50.0,116.4
1500.0,0.379,1.7,58.4125,1,50.0,232.48
600.0,0.386,1.36,394.0,1,100.0,0.0
1000.0,0.374,1.32,356.0,1,100.0,42.6
1300.0,0.368,1.28,41.0,1,100.0,159.26
1300.0,0.363,1.25,28.0,1,100.0,145.05
700.0,0.403,2.1,352.06,0,30.0,0.0
900.0,0.399,2.01,131.8,0,30.0,35.06
1100.0,0.394,1.77,18.74,0,30.0,128.45
1400.0,0.386,1.54,6.64,0,30.0,188.79
800.0,0.375,1.76,211.0,1,50.0,0.0
800.0,0.47,1.08,435.34,0,100.0,0.0
1400.0,0.377,1.956,1.82,0,30.0,240.14
1400.0,0.388,2.132,5.65,0,30.0,208.65
1400.0,0.38,2.058,4.78,0,30.0,221.8
1400.0,0.37,1.925,4.07,0,30.0,240.0
1000.0,0.377,1.57,273.2,0,20.0,105.01
1100.0,0.374,2.26,48.19,0,100.0,53.28
800.0,0.379,3.38,210.9,0,30.0,81.04
800.0,0.367,3.57,516.0,0,30.0,0.0
1200.0,0.388,1.904761905,2.49,0,30.0,123.216
1200.0,0.382,1.869158879,1.09,0,30.0,174.168
1200.0,0.377,1.848428835,1.48,0,30.0,196.156
1200.0,0.361,1.63132137,4.93,0,30.0,167.693
1200.0,0.345,1.592356688,169.52,0,30.0,96.86
600.0,0.382,2.74,301.0,1,100.0,0.0
1300.0,0.37,1.62,101.0,1,100.0,91.15
1000.0,0.379,2.04,73.38,1,50.0,99.79
1100.0,0.376,1.79,64.15,1,50.0,123.35
800.0,0.385,1.11,12.98,0,50.0,51.3
800.0,0.361,1.01,12.41,0,50.0,63.4
700.0,0.48,0.95,498.23,0,20.0,0.0
900.0,0.399,1.79,645.0,0,100.0,45.5
1100.0,0.381,1.64,547.0,0,100.0,90.1
1000.0,0.372,1.04,40.0,0,100.0,94.37
1000.0,0.364,1.08,60.0,0,100.0,45.89
1000.0,0.36,1.06,655.0,0,100.0,0.0
500.0,0.423,0.97,356.4,1,200.0,0.0
1100.0,0.387,2.22,35.6296,1,30.0,140.53
1300.0,0.385,2.2,13.0375,1,30.0,227.27
1500.0,0.371,2.04,3.7649,1,30.0,239.39
