carbonization_temperature_C,d002_nm,id_ig,ssa_m2_g,electrolyte_type,current_density_mA_g,ice,lce
1900.0,0.355,1.18,7.0,0,30.0,0.7006,0.8501566387778585
800.0,0.359,2.32,108.0,0,50.0,0.5315,0.1261670961035256
1200.0,0.348,1.63,100.7,0,30.0,0.733,1.0098970434864019
1200.0,0.381,1.89,49.1,0,30.0,0.762,1.1636758820151716
1200.0,0.394,1.91,4.8,0,30.0,0.779,1.2598483443529955
1200.0,0.374,1.85,29.6,0,30.0,0.7440000000000001,1.06686359035353
1100.0,0.408,2.14,13.0,0,30.0,0.755,1.1254595387042978
1300.0,0.379,1.87,4.2,0,30.0,0.804,1.4114846099484495
700.0,0.384,1.04,1041.2,0,100.0,0.33270000000000005,-0.6959985368851297
1000.0,0.403,2.11,393.84,0,30.0,0.5256000000000001,0.10248961948688536
800.0,0.37,1.09,477.838,0,25.0,0.354,-0.6015025906488274
800.0,0.38,1.06,449.073,0,25.0,0.3697,-0.5335040305764784
800.0,0.38,1.17,282.87,0,25.0,0.5044,0.017600454335776856
800.0,0.38,1.09,505.317,0,25.0,0.3765,-0.5044307178801427
900.0,0.392,1.02,55.8,0,100.0,0.433,-0.2696215757252622
800.0,0.391,0.96,75.7,1,100.0,0.63,0.5322168137473082
900.0,0.364,1.1,491.0,1,50.0,0.5115999999999999,0.046408327468137854
1200.0,0.377,0.98,341.0,1,50.0,0.654,0.6366685763994745
1200.0,0.346,0.98,169.52,0,30.0,0.599,0.4013001708088801
1200.0,0.386,1.75,5.95,0,30.0,0.853,1.7583269607129426
1200.0,0.374,1.49,4.6,0,30.0,0.797,1.367648699748428
1500.0,0.367,1.42,11.2,0,7.44,0.83,1.5856272637403817
1500.0,0.373,1.55,8.5,0,7.44,0.85,1.7346010553881064
1500.0,0.375,1.54,6.0,0,7.44,0.85,1.7346010553881064
1600.0,0.37,1.44,8.2,0,7.44,0.88,1.9924301646902063
800.0,0.394,0.957,305.051,1,100.0,0.521,0.08404944434245186
800.0,0.416,0.976,46.269,1,100.0,0.581,0.32687983692977335
1000.0,0.373,2.7,49.6,0,100.0,0.64,0.5753641449035619
1400.0,0.418,1.48,3.63,1,30.0,0.727,0.9794546823485596
1400.0,0.42,1.74,1.47,1,30.0,0.8340000000000001,1.6142456140022041
1400.0,0.419,1.43,2.93,1,30.0,0.789,1.318908187369808
1400.0,0.417,1.4,4.34,1,30.0,0.7709999999999999,1.2139663700090892
1400.0,0.374,1.175,52.1,0,20.0,0.8109999999999999,1.4565210390557701
1400.0,0.382,1.18,15.3,0,20.0,0.9009999999999999,2.208385407473747
1400.0,0.398,1.198,10.8,0,20.0,0.894,2.1322666810614472
900.0,0.375,2.21,195.7,0,100.0,0.547,0.18855667693894732
900.0,0.392,2.89,181.3,0,100.0,0.623,0.5023013313394424
1200.0,0.382,2.28,17.4,0,100.0,0.684,0.7722157040356386
1800.0,0.365,0.75,13.0,1,20.0,0.805,1.4178427188548168
1200.0,0.393,1.09,5.0,1,20.0,0.76,1.1526795099383855
1400.0,0.371,0.94,2.0,1,20.0,0.89,2.0907410969337694
800.0,0.39,3.11,252.3,0,30.0,0.615,0.4683789335187336
1000.0,0.385,2.94,84.6,0,30.0,0.757,1.1363018100969002
1200.0,0.383,2.35,6.7,0,30.0,0.755,1.1254595387042978
1400.0,0.379,1.98,3.3,0,30.0,0.8340000000000001,1.6142456140022041
1600.0,0.371,1.8,1.9,0,30.0,0.838,1.6434217652496987
800.0,0.368,1.084,239.89,1,10.0,0.48100000000000004,-0.07603661306012723
2000.0,0.343,1.306,17.7,1,10.0,0.629,0.5279291940930054
800.0,0.376,1.102,138.47,1,10.0,0.527,0.10810516004942952
1000.0,0.354,0.94,131.24,1,100.0,0.5760000000000001,0.30637420546393374
1190.0,0.376,0.96,296.17,1,50.0,0.6596,0.6615121939862246
1000.0,0.402,1.18,325.0,1,30.0,0.66,0.6632942174102643
1200.0,0.397,1.15,103.0,1,30.0,0.74,1.0459685551826876
1400.0,0.39,1.16,46.0,1,30.0,0.8,1.3862943611198908
1400.0,0.388,1.05,29.0,1,30.0,0.76,1.1526795099383855
1100.0,0.411,1.664,15.611,0,100.0,0.5710000000000001,0.2859322907279935
1200.0,0.367,1.85,115.9,0,30.0,0.682,0.7629782750632855
1200.0,0.379,1.89,70.2,0,30.0,0.741,1.051172563596549
1200.0,0.384,1.96,30.0,0,30.0,0.784,1.289130612666243
1200.0,0.401,2.2,47.3,0,30.0,0.743,1.0616199598225393
1400.0,0.372,1.63,22.551,0,20.0,0.7662,1.1869771832285805
1400.0,0.377,1.51,27.9862,0,20.0,0.8067,1.4287084657286433
1400.0,0.379,1.59,37.2031,0,20.0,0.7775,1.251156542447094
1400.0,0.381,1.71,51.9868,0,20.0,0.7447,1.0705421284691619
1400.0,0.378,1.81,78.4585,0,20.0,0.7639,1.1741814464558469
1100.0,0.376,1.1,9.068,1,50.0,0.5991,0.40171650944141785
1300.0,0.365,1.03,4.729,1,50.0,0.7059000000000001,0.8755537388414776
800.0,0.396,2.89,583.0,0,30.0,0.45,-0.20067069546215124
1000.0,0.379,2.64,205.0,0,30.0,0.66,0.6632942174102643
1300.0,0.38,1.04,90.75,1,50.0,0.73,0.9946225751440619
1000.0,0.393,2.09,329.0,1,50.0,0.654,0.6366685763994745
1000.0,0.389,2.03,478.4,1,50.0,0.5579999999999999,0.2330490803036126
1000.0,0.364,2.01,13.3,1,50.0,0.703,0.861624753007965
800.0,0.38,0.63,1079.88,0,100.0,0.40049999999999997,-0.40338220795915514
900.0,0.399,0.89,578.2,0,50.0,0.3629,-0.5627993149034178
900.0,0.399,0.95,352.7,0,50.0,0.5405,0.16235569528352117
1000.0,0.382,1.37,38.0,0,30.0,0.73,0.9946225751440619
1500.0,0.373,1.52,13.0,0,30.0,0.9,2.1972245773362196
1400.0,0.382,2.3,161.2,1,100.0,0.64,0.5753641449035619
1400.0,0.384,2.2,53.0,1,100.0,0.69,0.8001193001121129
1400.0,0.373,1.93,64.2,1,100.0,0.65,0.6190392084062236
1400.0,0.383,2.44,30.4,1,100.0,0.7,0.8472978603872034
1500.0,0.372,1.15,24.0,0,20.0,0.779,1.2598483443529955
1500.0,0.371,1.24,82.0,0,20.0,0.797,1.367648699748428
1100.0,0.393,2.3,187.5,1,100.0,0.727,0.9794546823485596
1500.0,0.363,1.72,46.6,1,100.0,0.718,0.9345624981101105
600.0,0.377,0.88,690.0,0,100.0,0.496,-0.01600034134644119
600.0,0.363,0.84,468.0,0,100.0,0.442,-0.2330490803036129
1300.0,0.3637,1.9,105.0,0,25.0,0.72,0.9444616088408513
1300.0,0.3604,1.9,2.5,0,25.0,0.85,1.7346010553881064
1300.0,0.362,1.8,0.1,0,25.0,0.89,2.0907410969337694
1300.0,0.3638,1.8,6.0,0,25.0,0.84,1.6582280766035322
1300.0,0.3623,1.9,8.0,0,25.0,0.75,1.0986122886681098
900.0,0.387,1.24,3.0,0,20.0,0.68,0.7537718023763803
1100.0,0.381,1.18,3.8,0,20.0,0.7,0.8472978603872034
1300.0,0.375,1.11,1.42,0,20.0,0.75,1.0986122886681098
900.0,0.367,1.005,556.96,1,100.0,0.3768,-0.5031529518543305
850.0,0.391,1.38,137.83,0,50.0,0.5589999999999999,0.23710459770825298
950.0,0.37,1.28,222.89,0,50.0,0.518,0.07203112820888292
700.0,0.424,0.95,1271.0,0,74.4,0.247,-1.1146768911719165
800.0,0.3736,2.09,494.6238,1,50.0,0.3987,-0.41088472365821355
900.0,0.3711,2.0,445.9053,1,50.0,0.5144,0.057615933178121005
1000.0,0.377,1.95,435.3239,1,50.0,0.6134000000000001,0.4616266849059209
1300.0,0.3783,1.76,22.98,1,50.0,0.7170000000000001,0.9296289429563832
1300.0,0.3914,1.72,48.9072,1,50.0,0.7763,1.2442331749155506
1500.0,0.379,1.7,58.4125,1,50.0,0.722,0.9544040252021891
600.0,0.386,1.36,394.0,1,100.0,0.49,-0.04000533461369925
1000.0,0.374,1.32,356.0,1,100.0,0.67,0.708185057924486
1300.0,0.368,1.28,41.0,1,100.0,0.69,0.8001193001121129
1300.0,0.363,1.25,28.0,1,100.0,0.69,0.8001193001121129
700.0,0.403,2.1,352.06,0,30.0,0.565,0.26147970005775656
900.0,0.399,2.01,131.8,0,30.0,0.677,0.7400189496896188
1100.0,0.394,1.77,18.74,0,30.0,0.816,1.489478597355121
1400.0,0.386,1.54,6.64,0,30.0,0.8909999999999999,2.1009965452416646
800.0,0.375,1.76,211.0,1,50.0,0.614,0.4641575586823115
800.0,0.47,1.08,435.34,0,100.0,0.385,-0.46837893351873355
1400.0,0.377,1.956,1.82,0,30.0,0.904,2.2424811689243405
1400.0,0.388,2.132,5.65,0,30.0,0.8009999999999999,1.3925561223438665
1400.0,0.38,2.058,4.78,0,30.0,0.84,1.6582280766035322
1400.0,0.37,1.925,4.07,0,30.0,0.862,1.8320015855064884
1000.0,0.377,1.57,273.2,0,20.0,0.551,0.20471192141066033
1100.0,0.374,2.26,48.19,0,100.0,0.698,0.8377920853875026
800.0,0.379,3.38,210.9,0,30.0,0.66,0.6632942174102643
800.0,0.367,3.57,516.0,0,30.0,0.52,0.08004270767353656
1200.0,0.388,1.904761905,2.49,0,30.0,0.8,1.3862943611198908
1200.0,0.382,1.869158879,1.09,0,30.0,0.818,1.5028556495259513
1200.0,0.377,1.848428835,1.48,0,30.0,0.8290000000000001,1.5785565986326358
1200.0,0.361,1.63132137,4.93,0,30.0,0.764,1.1747359841409104
1200.0,0.345,1.592356688,169.52,0,30.0,0.599,0.4013001708088801
600.0,0.382,2.74,301.0,1,100.0,0.6042000000000001,0.42299623578410656
1300.0,0.37,1.62,101.0,1,100.0,0.6655,0.6879017582668832
1000.0,0.379,2.04,73.38,1,50.0,0.6242,0.5074137428573141
1100.0,0.376,1.79,64.15,1,50.0,0.6908,0.8038620295592565
800.0,0.385,1.11,12.98,0,50.0,0.66,0.6632942174102643
800.0,0.361,1.01,12.41,0,50.0,0.653,0.632252349329572
700.0,0.48,0.95,498.23,0,20.0,0.358,-0.584055317289261
900.0,0.399,1.79,645.0,0,100.0,0.428,-0.2900157957980013
1100.0,0.381,1.64,547.0,0,100.0,0.475,-0.10008345855698265
1000.0,0.372,1.04,40.0,0,100.0,0.64,0.5753641449035619
1000.0,0.364,1.08,60.0,0,100.0,0.54,0.16034265007517948
1000.0,0.36,1.06,655.0,0,100.0,0.37,-0.5322168137473082
500.0,0.423,0.97,356.4,1,200.0,0.7184999999999999,0.937033257939334
1100.0,0.387,2.22,35.6296,1,30.0,0.727,0.9794546823485596
1300.0,0.385,2.2,13.0375,1,30.0,0.841,1.6656874577527163
1500.0,0.371,2.04,3.7649,1,30.0,0.856,1.7824570765657413
1700.0,0.37,1.97,3.6883,1,30.0,0.8759999999999999,1.9550845253313536
1500.0,0.354,1.08,75.11,0,20.0,0.7931,1.3437137323377768
1500.0,0.36,1.1,71.12,0,20.0,0.7895,1.3219141805732606
1500.0,0.365,1.13,60.83,0,20.0,0.8092,1.4448203462794045
1500.0,0.372,1.18,61.15,0,20.0,0.7779,1.253470250312347
1500.0,0.373,1.22,59.4,0,20.0,0.8019,1.3982119581084773
1500.0,0.375,1.27,77.02,0,20.0,0.8061,1.4248652420409496
1000.0,0.41,4.0,11.2,0,20.0,0.723,0.9593917159714261
1200.0,0.396,3.7,19.7,0,20.0,0.728,0.9844989819006886
1400.0,0.392,2.56,10.5,0,20.0,0.8009999999999999,1.3925561223438665
1600.0,0.346,2.38,10.3,0,20.0,0.795,1.355332135515924
1200.0,0.392,2.22,103.1,0,20.0,0.6809999999999999,0.7583712033646676
1400.0,0.388,1.96,5.8,0,20.0,0.873,1.927748469381011
1600.0,0.351,1.85,4.0,0,20.0,0.8059999999999999,1.4242255834432997
800.0,0.405,0.97,39.4,0,30.0,0.6,0.4054651081081642
1000.0,0.358,0.98,9.5,0,30.0,0.75,1.0986122886681098
1300.0,0.379,1.28,29.3,1,10.0,0.843,1.680721152653547
900.0,0.361,0.83,10.42,1,20.0,0.6409,0.5792725372781442
900.0,0.3617,0.85,12.3,1,20.0,0.6816,0.7611345215448779
900.0,0.3625,0.87,12.29,1,20.0,0.669,0.7036656847511656
900.0,0.3639,0.88,8.2,1,20.0,0.6951,0.8240718661122313
800.0,0.387,2.04,136.0,0,50.0,0.5988,0.40046759645769275
1000.0,0.385,2.01,120.7,0,50.0,0.6408,0.5788380593261051
1200.0,0.386,1.96,4.9,0,50.0,0.6677,0.6978007955032745
1400.0,0.366,1.91,4.1,0,50.0,0.7645000000000001,1.177511111912645
1600.0,0.343,1.89,4.1,0,50.0,0.7277,0.9829844756733269
800.0,0.347,1.66,8.4,0,50.0,0.6603,0.6646314020339874
1000.0,0.348,1.39,3.5,0,50.0,0.6157,0.4713363343463663
650.0,0.37,1.04,5.74,0,100.0,0.4657,-0.13741582897539412
650.0,0.38,1.06,10.86,0,100.0,0.528,0.11211729812070621
1200.0,0.41,1.04,221.59,0,50.0,0.65,0.6190392084062236
1000.0,0.388,1.05,85.1,0,30.0,0.6053999999999999,0.42801680299910305
1300.0,0.385,1.08,34.4,0,30.0,0.85,1.7346010553881064
1300.0,0.378,1.12,28.0,0,30.0,0.85,1.7346010553881064
1500.0,0.377,1.12,26.1,0,30.0,0.826,1.5575394743064488
1500.0,0.357,1.39,22.6,0,30.0,0.7217,0.9529098715463824
1100.0,0.398,2.59,22.9,0,20.0,0.805,1.4178427188548168
1100.0,0.387,2.41,2.96,0,20.0,0.825,1.5505974124111666
1100.0,0.39,2.69,54.13,0,20.0,0.777,1.2482685789075287
1100.0,0.394,2.44,5.26,0,20.0,0.8009999999999999,1.3925561223438665
1500.0,0.361,1.43,1.5,0,37.2,0.8540000000000001,1.766324572080234
1500.0,0.367,1.49,1.3,0,37.2,0.855,1.7743677265161857
1500.0,0.357,1.36,2.2,0,37.2,0.856,1.7824570765657413
1500.0,0.364,1.43,2.2,0,37.2,0.848,1.7190001149456264
1200.0,0.369,1.85,223.18,1,100.0,0.6409999999999999,0.5797070684323907
900.0,0.373,0.96,62.3,0,20.0,0.6531999999999999,0.6331351161899228
1100.0,0.371,0.98,12.7,0,20.0,0.7084,0.8876259057741754
750.0,0.374,0.97,1641.0,0,100.0,0.2139,-1.3015753947113509
1200.0,0.373,0.95,42.6,1,50.0,0.695,0.8236000689573804
1200.0,0.383,0.96,83.2,1,50.0,0.6829999999999999,0.7675930856935093
1200.0,0.384,0.99,60.7,1,50.0,0.675,0.7308875085427926
1100.0,0.3772,1.34,10.9,0,25.0,0.753,1.1146768911719165
1100.0,0.3994,1.36,42.0,0,25.0,0.77,1.2083112059245342
1100.0,0.4022,1.37,57.0,0,25.0,0.637,0.5623668213073126
800.0,0.36,0.7,40.0,0,100.0,0.5034000000000001,0.013600209627149536
1200.0,0.377,1.56,1.85,0,20.0,0.8059999999999999,1.4242255834432997
1400.0,0.375,1.46,1.77,0,20.0,0.846,1.7035667571925939
1600.0,0.372,1.35,1.89,0,20.0,0.843,1.680721152653547
1200.0,0.381,1.42,1.0,0,20.0,0.8079999999999999,1.4370666864933135
1400.0,0.38,1.35,1.0,0,20.0,0.861,1.823620571297039
1600.0,0.363,1.01,2.66,0,20.0,0.8320000000000001,1.5998684614179501
600.0,0.368,1.1,7.5,0,50.0,0.5331,0.1325939218518241
1400.0,0.363,1.2,13.38,0,100.0,0.7338,1.0139886059601704
1300.0,0.352,1.6,9.9,1,100.0,0.6944,0.820771106053775
1300.0,0.377,1.96,3.6,1,100.0,0.715,0.919793362425357
1300.0,0.376,2.18,9.0,1,100.0,0.6246,0.50911932069657
1300.0,0.382,2.19,6.4,1,100.0,0.7343999999999999,1.0170624217040016
1200.0,0.39,1.09,95.7,0,30.0,0.6940000000000001,0.8188868585544241
1300.0,0.373,1.243,3.67,0,30.0,0.865,1.8574547284934497
1500.0,0.368,1.232,1.6,0,30.0,0.905,2.2540580520993854
900.0,0.4052,1.866,821.88,0,50.0,0.428,-0.2900157957980013
1300.0,0.375,1.29,4.9,0,25.0,0.701,0.8520643136439034
1300.0,0.37,1.21,7.7,0,25.0,0.787,1.3069360827079783
1300.0,0.364,1.18,10.6,0,25.0,0.8240000000000001,1.5436865348713205
1300.0,0.358,1.13,14.4,0,25.0,0.7909999999999999,1.3309637158028425
1200.0,0.39,1.08,33.86,1,20.0,0.7020000000000001,0.8568399175204071
1400.0,0.387,1.98,5.68,0,30.0,0.82,1.5163474893680882
1400.0,0.397,2.13,6.87,0,30.0,0.81,1.4500101755059986
1400.0,0.399,2.25,2.32,0,30.0,0.88,1.9924301646902063
1400.0,0.401,2.3,4.62,0,30.0,0.85,1.7346010553881064
1400.0,0.355,1.35,4.08,0,20.0,0.764,1.1747359841409104
1400.0,0.36,0.77,18.87,0,20.0,0.866,1.8660451086115237
1400.0,0.358,1.03,8.86,0,20.0,0.8340000000000001,1.6142456140022041
700.0,0.358,1.06,347.88,0,100.0,0.605,0.42634269312971956
800.0,0.352,1.01,435.13,0,100.0,0.522,0.08805685539118287
1200.0,0.385,1.01,49.0,0,50.0,0.68,0.7537718023763803
1200.0,0.379,0.99,70.0,0,50.0,0.63,0.5322168137473082
900.0,0.397,2.99,763.82,1,20.0,0.42700000000000005,-0.29410170348611486
1200.0,0.376,2.95,8.4,0,30.0,0.7994,1.3825485707493879
1200.0,0.38,3.36,21.06,0,30.0,0.748,1.087973890463054
1200.0,0.385,3.32,21.19,0,30.0,0.809,1.4435254890118623
1300.0,0.354,1.155,67.858,0,20.0,0.8,1.3862943611198908
1300.0,0.356,1.081,97.343,0,20.0,0.79,1.3249254147435987
800.0,0.374,1.56,678.0,0,50.0,0.37,-0.5322168137473082
900.0,0.368,1.33,103.3,1,20.0,0.66,0.6632942174102643
800.0,0.371,2.86,50.94,0,100.0,0.612,0.45572694288905263
1000.0,0.372,3.38,20.6,0,20.0,0.6291,0.5283577420804387
1200.0,0.367,2.61,415.8,0,20.0,0.6726000000000001,0.7199681343691352
1100.0,0.389,2.064,338.0,0,20.0,0.625,0.5108256237659907
