removed_feature,test_r2_without_feature,delta_test_r2,test_mae_without_feature,test_rmse_without_feature
ssa_m2_g,0.6452594321150217,0.18112076448263525,0.35961366584066795,0.44466817893286437
carbonization_temperature_C,0.7545441132518494,0.07183608334580749,0.2929052000408944,0.3698855364173849
current_density_mA_g,0.7747133406044049,0.05166685599325205,0.2938933849156154,0.3543629928925795
d002_nm,0.82815817474247,-0.0017779781448130638,0.2519285725022827,0.3094888889380124
id_ig,0.8306017554791054,-0.004221558881448484,0.24931624413949507,0.3072805532492264
electrolyte_type,0.8334324339333871,-0.007052237335730127,0.25391742043855586,0.3047023777508624
