feature,mean_abs_shap,rank
carbonization_temperature_C,0.3855586344304191,1
ssa_m2_g,0.09590616734185832,2
id_ig,0.03278786770746368,3
current_density_mA_g,0.02343055797072465,4
electrolyte_type,0.008886619455526783,5
d002_nm,0.00018854572098999986,6
