feature,mean_abs_shap,rank
carbonization_temperature_C,54.44020792510195,1
ssa_m2_g,7.230941737245805,2
electrolyte_type,5.83016824441282,3
d002_nm,4.686690868115995,4
id_ig,3.263027529740024,5
current_density_mA_g,0.36953717940415326,6
